epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,14663.8,0.10254,0.09467,0.76207,0.93238,0.88076,0.9355,0.79484,0.63093,0.39636,1.05577,0.0003268,0.0003268,0.0003268
138,14763.2,0.10292,0.09443,0.76215,0.93541,0.87616,0.93806,0.79533,0.62691,0.39797,1.04941,0.00032185,0.00032185,0.00032185
139,14863.1,0.10323,0.09504,0.76176,0.93801,0.87648,0.93257,0.78788,0.63455,0.4017,1.06011,0.0003169,0.0003169,0.0003169
140,14961.9,0.10213,0.09388,0.76209,0.94393,0.87254,0.93457,0.78925,0.63358,0.40266,1.06255,0.00031195,0.00031195,0.00031195
141,15063.9,0.1003,0.0927,0.76118,0.9413,0.88265,0.93559,0.79329,0.62954,0.39421,1.06162,0.000307,0.000307,0.000307
142,15166.1,0.09842,0.09113,0.76151,0.95128,0.87317,0.9364,0.79607,0.62576,0.39377,1.05836,0.00030205,0.00030205,0.00030205
143,15265.2,0.09905,0.09197,0.76125,0.93652,0.88515,0.93531,0.79658,0.62531,0.39743,1.0604,0.0002971,0.0002971,0.0002971
144,15366.8,0.09678,0.0905,0.76126,0.95879,0.86111,0.93533,0.79575,0.62906,0.3952,1.06164,0.00029215,0.00029215,0.00029215
145,15467.3,0.09629,0.0899,0.76153,0.9455,0.87132,0.93414,0.79424,0.63581,0.40084,1.06668,0.0002872,0.0002872,0.0002872
146,15566.9,0.09649,0.08997,0.76122,0.94231,0.87069,0.93411,0.79332,0.63091,0.39562,1.06242,0.00028225,0.00028225,0.00028225
147,15668.9,0.0967,0.09048,0.76133,0.94259,0.86663,0.93363,0.7945,0.62685,0.39562,1.05672,0.0002773,0.0002773,0.0002773
148,15771.2,0.09638,0.08992,0.76116,0.94604,0.87164,0.93533,0.79418,0.62694,0.39712,1.05705,0.00027235,0.00027235,0.00027235
149,15882.2,0.09525,0.08924,0.7617,0.94846,0.86732,0.93539,0.79366,0.62905,0.39898,1.05999,0.0002674,0.0002674,0.0002674
150,15977.9,0.0932,0.08766,0.76128,0.93718,0.87298,0.93904,0.79586,0.62882,0.39779,1.06601,0.00026245,0.00026245,0.00026245
151,16082.1,0.09248,0.0867,0.76123,0.94325,0.86663,0.93696,0.79377,0.6308,0.40105,1.06856,0.0002575,0.0002575,0.0002575
152,16188.5,0.09005,0.08564,0.76109,0.94226,0.87473,0.93712,0.79188,0.6305,0.3979,1.06977,0.00025255,0.00025255,0.00025255
153,16291.9,0.0901,0.08475,0.76153,0.95068,0.87104,0.93773,0.79145,0.62993,0.39746,1.06816,0.0002476,0.0002476,0.0002476
154,16395.8,0.08901,0.08364,0.76111,0.9578,0.8689,0.93729,0.7908,0.62846,0.40093,1.06338,0.00024265,0.00024265,0.00024265
155,16496.9,0.08819,0.08317,0.76021,0.94743,0.87767,0.93796,0.79136,0.62789,0.39675,1.06472,0.0002377,0.0002377,0.0002377
156,16594.4,0.08688,0.08216,0.7607,0.94244,0.88006,0.93818,0.79408,0.62813,0.39843,1.06607,0.00023275,0.00023275,0.00023275
157,16692,0.08572,0.08085,0.76048,0.95485,0.87111,0.93929,0.7958,0.62908,0.40154,1.0672,0.0002278,0.0002278,0.0002278
158,16788.8,0.08612,0.08125,0.76077,0.94466,0.87878,0.93923,0.79698,0.62988,0.40268,1.07021,0.00022285,0.00022285,0.00022285
159,16885.9,0.08456,0.07996,0.76057,0.95599,0.87519,0.9412,0.79593,0.62881,0.39792,1.06975,0.0002179,0.0002179,0.0002179
160,16983.4,0.08357,0.07861,0.76133,0.95545,0.87534,0.93904,0.79514,0.63025,0.40333,1.06978,0.00021295,0.00021295,0.00021295
161,17081.7,0.08321,0.07905,0.76017,0.95337,0.87649,0.93767,0.79334,0.63126,0.40519,1.07043,0.000208,0.000208,0.000208
162,17178.8,0.08415,0.07919,0.76054,0.95398,0.8776,0.93739,0.79386,0.6292,0.40536,1.07032,0.00020305,0.00020305,0.00020305
163,17275.9,0.08103,0.07686,0.7598,0.95001,0.88117,0.93725,0.79316,0.62804,0.4067,1.06805,0.0001981,0.0001981,0.0001981
164,17372.6,0.08008,0.07588,0.76015,0.95026,0.88269,0.93736,0.79334,0.62926,0.41025,1.06954,0.00019315,0.00019315,0.00019315
165,17473.1,0.07842,0.07445,0.75975,0.95321,0.88363,0.93713,0.79258,0.62843,0.41112,1.06811,0.0001882,0.0001882,0.0001882
166,17568.8,0.07771,0.07425,0.75937,0.95713,0.87951,0.93824,0.79294,0.62643,0.40955,1.06729,0.00018325,0.00018325,0.00018325
167,17670.1,0.07707,0.07291,0.75967,0.95359,0.87937,0.93883,0.79312,0.62734,0.40946,1.06839,0.0001783,0.0001783,0.0001783
168,17766,0.07614,0.07245,0.75956,0.9555,0.87659,0.93751,0.79312,0.62735,0.41577,1.06815,0.00017335,0.00017335,0.00017335
169,17864,0.07601,0.07253,0.75937,0.9504,0.87967,0.93646,0.79282,0.62228,0.41166,1.06452,0.0001684,0.0001684,0.0001684
170,17960.9,0.07521,0.07157,0.75927,0.94741,0.88358,0.93508,0.79319,0.62369,0.41033,1.06649,0.00016345,0.00016345,0.00016345
171,18057.5,0.07411,0.07062,0.75952,0.95134,0.88196,0.93584,0.79153,0.6263,0.41082,1.06906,0.0001585,0.0001585,0.0001585
172,18154.7,0.0733,0.07026,0.75928,0.955,0.87386,0.93502,0.79289,0.627,0.40611,1.07045,0.00015355,0.00015355,0.00015355
173,18254.3,0.07312,0.06945,0.75928,0.95102,0.87767,0.9364,0.79241,0.62637,0.40278,1.07077,0.0001486,0.0001486,0.0001486
174,18351.5,0.07135,0.06773,0.75916,0.94388,0.87957,0.93608,0.79366,0.62338,0.40364,1.06772,0.00014365,0.00014365,0.00014365
175,18448.3,0.07143,0.06787,0.75881,0.94731,0.87515,0.9368,0.79434,0.6226,0.40576,1.06739,0.0001387,0.0001387,0.0001387
176,18544.8,0.07023,0.06745,0.75917,0.95224,0.87207,0.93751,0.79463,0.62241,0.40249,1.06779,0.00013375,0.00013375,0.00013375
177,18641.2,0.0702,0.0675,0.75887,0.94671,0.87479,0.93813,0.79476,0.62246,0.40167,1.0686,0.0001288,0.0001288,0.0001288
178,18738.6,0.06872,0.06608,0.75929,0.95364,0.86765,0.93778,0.79423,0.6228,0.40254,1.06991,0.00012385,0.00012385,0.00012385
179,18842,0.06874,0.06618,0.75915,0.93883,0.88227,0.93808,0.79553,0.62262,0.40082,1.0699,0.0001189,0.0001189,0.0001189
180,18934.3,0.06806,0.06487,0.75913,0.94251,0.88154,0.9383,0.79522,0.6219,0.3986,1.07015,0.00011395,0.00011395,0.00011395
181,19031.6,0.06688,0.06388,0.7587,0.93674,0.88479,0.93911,0.79522,0.62179,0.39931,1.06987,0.000109,0.000109,0.000109
